Coordinate,Chunk number,Block number
0.3,0,0.3
-0.3,-1,15.7
1.3,0,1.3
0.7,0,0.7
-0.7,-1,15.3
-1.3,-1,14.7
2.3,0,2.3
1.7,0,1.7
-1.7,-1,14.3
-2.3,-1,13.7
3.3,0,3.3
2.7,0,2.7
-2.7,-1,13.3
-3.3,-1,12.7
4.3,0,4.3
3.7,0,3.7
-3.7,-1,12.3
-4.3,-1,11.7
5.3,0,5.3
4.7,0,4.7
-4.7,-1,11.3
-5.3,-1,10.7
6.3,0,6.3
5.7,0,5.7
-5.7,-1,10.3
-6.3,-1,9.7
7.3,0,7.3
6.7,0,6.7
-6.7,-1,9.3
-7.3,-1,8.7
8.3,0,8.3
7.7,0,7.7
-7.7,-1,8.3
-8.3,-1,7.699999999999999
9.3,0,9.3
8.7,0,8.7
-8.7,-1,7.300000000000001
-9.3,-1,6.699999999999999
10.3,0,10.3
9.7,0,9.7
-9.7,-1,6.300000000000001
-10.3,-1,5.699999999999999
11.3,0,11.3
10.7,0,10.7
-10.7,-1,5.300000000000001
-11.3,-1,4.699999999999999
12.3,0,12.3
11.7,0,11.7
-11.7,-1,4.300000000000001
-12.3,-1,3.6999999999999993
13.3,0,13.3
12.7,0,12.7
-12.7,-1,3.3000000000000007
-13.3,-1,2.6999999999999993
14.3,0,14.3
13.7,0,13.7
-13.7,-1,2.3000000000000007
-14.3,-1,1.6999999999999993
15.3,0,15.3
14.7,0,14.7
-14.7,-1,1.3000000000000007
-15.3,-1,0.6999999999999993
16.3,1,0.3000000000000007
15.7,0,15.7
-15.7,-1,0.3000000000000007
-16.3,-2,15.7
17.3,1,1.3000000000000007
16.7,1,0.6999999999999993
-16.7,-2,15.3
-17.3,-2,14.7
18.3,1,2.3000000000000007
17.7,1,1.6999999999999993
-17.7,-2,14.3
-18.3,-2,13.7
19.3,1,3.3000000000000007
18.7,1,2.6999999999999993
-18.7,-2,13.3
-19.3,-2,12.7
20.3,1,4.300000000000001
19.7,1,3.6999999999999993
-19.7,-2,12.3
-20.3,-2,11.7
21.3,1,5.300000000000001
20.7,1,4.699999999999999
-20.7,-2,11.3
-21.3,-2,10.7
22.3,1,6.300000000000001
21.7,1,5.699999999999999
-21.7,-2,10.3
-22.3,-2,9.7
23.3,1,7.300000000000001
22.7,1,6.699999999999999
-22.7,-2,9.3
-23.3,-2,8.7
24.3,1,8.3
23.7,1,7.699999999999999
-23.7,-2,8.3
-24.3,-2,7.699999999999999
25.3,1,9.3
24.7,1,8.7
-24.7,-2,7.300000000000001
-25.3,-2,6.699999999999999
26.3,1,10.3
25.7,1,9.7
-25.7,-2,6.300000000000001
-26.3,-2,5.699999999999999
27.3,1,11.3
26.7,1,10.7
-26.7,-2,5.300000000000001
-27.3,-2,4.699999999999999
28.3,1,12.3
27.7,1,11.7
-27.7,-2,4.300000000000001
-28.3,-2,3.6999999999999993
29.3,1,13.3
28.7,1,12.7
-28.7,-2,3.3000000000000007
-29.3,-2,2.6999999999999993
30.3,1,14.3
29.7,1,13.7
-29.7,-2,2.3000000000000007
-30.3,-2,1.6999999999999993
31.3,1,15.3
30.7,1,14.7
-30.7,-2,1.3000000000000007
-31.3,-2,0.6999999999999993
32.3,2,0.29999999999999716
31.7,1,15.7
-31.7,-2,0.3000000000000007
-32.3,-3,15.700000000000003
33.3,2,1.2999999999999972
32.7,2,0.7000000000000028
-32.7,-3,15.299999999999997
-33.3,-3,14.700000000000003
34.3,2,2.299999999999997
33.7,2,1.7000000000000028
-33.7,-3,14.299999999999997
-34.3,-3,13.700000000000003
35.3,2,3.299999999999997
34.7,2,2.700000000000003
-34.7,-3,13.299999999999997
-35.3,-3,12.700000000000003
36.3,2,4.299999999999997
35.7,2,3.700000000000003
-35.7,-3,12.299999999999997
-36.3,-3,11.700000000000003
37.3,2,5.299999999999997
36.7,2,4.700000000000003
-36.7,-3,11.299999999999997
-37.3,-3,10.700000000000003
38.3,2,6.299999999999997
37.7,2,5.700000000000003
-37.7,-3,10.299999999999997
-38.3,-3,9.700000000000003
39.3,2,7.299999999999997
38.7,2,6.700000000000003
-38.7,-3,9.299999999999997
-39.3,-3,8.700000000000003
40.3,2,8.299999999999997
39.7,2,7.700000000000003
-39.7,-3,8.299999999999997
-40.3,-3,7.700000000000003
41.3,2,9.299999999999997
40.7,2,8.700000000000003
-40.7,-3,7.299999999999997
-41.3,-3,6.700000000000003
42.3,2,10.299999999999997
41.7,2,9.700000000000003
-41.7,-3,6.299999999999997
-42.3,-3,5.700000000000003
43.3,2,11.299999999999997
42.7,2,10.700000000000003
-42.7,-3,5.299999999999997
-43.3,-3,4.700000000000003
44.3,2,12.299999999999997
43.7,2,11.700000000000003
-43.7,-3,4.299999999999997
-44.3,-3,3.700000000000003
45.3,2,13.299999999999997
44.7,2,12.700000000000003
-44.7,-3,3.299999999999997
-45.3,-3,2.700000000000003
46.3,2,14.299999999999997
45.7,2,13.700000000000003
-45.7,-3,2.299999999999997
-46.3,-3,1.7000000000000028
47.3,2,15.299999999999997
46.7,2,14.700000000000003
-46.7,-3,1.2999999999999972
-47.3,-3,0.7000000000000028
48.3,3,0.29999999999999716
47.7,2,15.700000000000003
-47.7,-3,0.29999999999999716
-48.3,-4,15.700000000000003
49.3,3,1.2999999999999972
48.7,3,0.7000000000000028
-48.7,-4,15.299999999999997
-49.3,-4,14.700000000000003
50.3,3,2.299999999999997
49.7,3,1.7000000000000028
-49.7,-4,14.299999999999997
-50.3,-4,13.700000000000003
51.3,3,3.299999999999997
50.7,3,2.700000000000003
-50.7,-4,13.299999999999997
-51.3,-4,12.700000000000003
52.3,3,4.299999999999997
51.7,3,3.700000000000003
-51.7,-4,12.299999999999997
-52.3,-4,11.700000000000003
53.3,3,5.299999999999997
52.7,3,4.700000000000003
-52.7,-4,11.299999999999997
-53.3,-4,10.700000000000003
54.3,3,6.299999999999997
53.7,3,5.700000000000003
-53.7,-4,10.299999999999997
-54.3,-4,9.700000000000003
55.3,3,7.299999999999997
54.7,3,6.700000000000003
-54.7,-4,9.299999999999997
-55.3,-4,8.700000000000003
56.3,3,8.299999999999997
55.7,3,7.700000000000003
-55.7,-4,8.299999999999997
-56.3,-4,7.700000000000003
57.3,3,9.299999999999997
56.7,3,8.700000000000003
-56.7,-4,7.299999999999997
-57.3,-4,6.700000000000003
58.3,3,10.299999999999997
57.7,3,9.700000000000003
-57.7,-4,6.299999999999997
-58.3,-4,5.700000000000003
59.3,3,11.299999999999997
58.7,3,10.700000000000003
-58.7,-4,5.299999999999997
-59.3,-4,4.700000000000003
60.3,3,12.299999999999997
59.7,3,11.700000000000003
-59.7,-4,4.299999999999997
-60.3,-4,3.700000000000003
61.3,3,13.299999999999997
60.7,3,12.700000000000003
-60.7,-4,3.299999999999997
-61.3,-4,2.700000000000003
62.3,3,14.299999999999997
61.7,3,13.700000000000003
-61.7,-4,2.299999999999997
-62.3,-4,1.7000000000000028
63.3,3,15.299999999999997
62.7,3,14.700000000000003
-62.7,-4,1.2999999999999972
-63.3,-4,0.7000000000000028
64.3,4,0.29999999999999716
63.7,3,15.700000000000003
-63.7,-4,0.29999999999999716
-64.3,-5,15.700000000000003
65.3,4,1.2999999999999972
64.7,4,0.7000000000000028
-64.7,-5,15.299999999999997
-65.3,-5,14.700000000000003
66.3,4,2.299999999999997
65.7,4,1.7000000000000028
-65.7,-5,14.299999999999997
-66.3,-5,13.700000000000003
67.3,4,3.299999999999997
66.7,4,2.700000000000003
-66.7,-5,13.299999999999997
-67.3,-5,12.700000000000003
68.3,4,4.299999999999997
67.7,4,3.700000000000003
-67.7,-5,12.299999999999997
-68.3,-5,11.700000000000003
69.3,4,5.299999999999997
68.7,4,4.700000000000003
-68.7,-5,11.299999999999997
-69.3,-5,10.700000000000003
70.3,4,6.299999999999997
69.7,4,5.700000000000003
-69.7,-5,10.299999999999997
-70.3,-5,9.700000000000003
